Author_Name,Paper_Count
"Abakah, Emmanuel Joel Aikins",7
"Abdallah, Mohamed",6
"Abdullah, Mohammad",5
"Abedin, Mohammad Zoynul",5
"Abrar, Afsheen",5
"Aharon, David Y.",5
"Ahmad, Raja Wasim",7
"Ahmad, Shabir",5
"Ahmed, Walid M. A.",5
"Ahn, Kwangwon",5
"Akyildirim, Erdinc",7
"Al-Turjman, Fadi",6
"Alazab, Mamoun",11
"Alfarraj, Osama",5
"Ali, Aitizaz",7
"Almeida, Jose",6
"Almogren, Ahmad",5
"Aloqaily, Moayad",5
"Alqahtani, Fayez",8
"Amin, Ruhul",14
"Anghel, Ionut",6
"Ante, Lennart",8
"Arshad, Junaid",8
"Assaf, Ata",6
"Bandara, Eranga",5
"Bara, Adela",5
"Barati, Masoud",6
"Bartolucci, Silvia",6
"Baur, Dirk G.",11
"Baza, Mohamed",5
"Bazan-Palomino, Walter",5
"Bhattacharya, Pronaya",12
"Bi, Zhuming",5
"Bouri, Elie",34
"Bouteska, Ahmed",8
"Buchanan, William J.",5
"Byun, Yung-Cheol",8
"Cai, Chengjun",6
"Cai, Wei",5
"Castiglione, Arcangelo",5
"Chamola, Vinay",9
"Chang, Xiaolin",11
"Chen, Chien-Ming",7
"Chen, Chin-Ling",18
"Chen, Huiling",7
"Chen, Jiahui",5
"Chen, Ruonan",5
"Chen, Ting",7
"Chen, Weili",5
"Chen, Wuhui",6
"Chen, Xin",5
"Chen, Yan",7
"Chen, Yuling",5
"Cheng, Jack C. P.",8
"Cheng, Nan",5
"Choo, Kim-Kwang Raymond",39
"Cioara, Tudor",6
"Conlon, Thomas",6
"Conti, Mauro",8
"Corbet, Shaen",27
"Crespi, Noel",5
"Cui, Hui",5
"Cui, Laizhong",5
"D'angelo, Gabriele",6
"Dai, Hong-Ning",11
"Dai, Xiaohai",6
"Damiani, Ernesto",7
"Das, Moumita",8
"Davidson, Innocent E.",5
"Debe, Mazin",7
"Demir, Ender",8
"Deng, Yong-Yuan",12
"Destefanis, Giuseppe",5
"Ding, Kai",6
"Ding, Yong",5
"Drozdz, Stanislaw",6
"Du, Xiaojiang",8
"Dwivedi, Sanjeev Kumar",11
"Ellahham, Samer",6
"Elsayed, Ahmed H.",5
"Erbad, Aiman",6
"Farooq, Muhammad Shoaib",6
"Feng, Tao",7
"Ferrer-Gomila, Josep-Lluis",5
"Ferretti, Stefano",9
"Fridgen, Gilbert",5
"Gadekallu, Thippa Reddy",9
"Gai, Keke",5
"Gallo, Pierluigi",5
"Gao, Feng",9
"Gao, Longxiang",5
"Gao, Sheng",5
