Publication_Year,Journal_Name,Paper_Count,Rank_In_Year
2020,"IEEE ACCESS",116,1
2020,"FINANCE RESEARCH LETTERS",24,2
2020,"FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE",21,3
2020,SENSORS,21,3
2020,"IEEE INTERNET OF THINGS JOURNAL",16,5
2021,"IEEE ACCESS",78,1
2021,"FINANCE RESEARCH LETTERS",28,2
2021,"SECURITY AND COMMUNICATION NETWORKS",28,2
2021,"IEEE INTERNET OF THINGS JOURNAL",27,4
2021,SENSORS,25,5
2022,"IEEE ACCESS",93,1
2022,SENSORS,57,2
2022,"FINANCE RESEARCH LETTERS",50,3
2022,"IEEE INTERNET OF THINGS JOURNAL",47,4
2022,SUSTAINABILITY,30,5
2023,"IEEE ACCESS",80,1
2023,"FINANCE RESEARCH LETTERS",37,2
2023,SENSORS,37,2
2023,"IEEE INTERNET OF THINGS JOURNAL",37,2
2023,"APPLIED SCIENCES-BASEL",34,5
2023,ELECTRONICS,34,5
2024,"IEEE ACCESS",59,1
2024,"IEEE INTERNET OF THINGS JOURNAL",21,2
2024,"FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE",20,3
2024,"FINANCIAL INNOVATION",19,4
2024,"CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS",15,5
2024,"INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS",15,5
